"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = INDIA""]"																																													
	-326	11					2	1				0	"INDIA"	"KUTCH"	23	71		0											1												1				
	900						1	0				0	"INDIA"	"NAGAPATTINAM"	10.46	79.53		1				200	3						3		2			200	3						3		2		
	1524						2	1				2	"INDIA"	"DABUL (DABHEL)"	17	73.2		0											1												1				
	1737	10	11				-1	9				0	"INDIA"	"CALCUTTA"				1				300000	4																						
	1819	6	16				3	1	7.7			0	"INDIA"	"KUTCH"	23	71		1											2		2			1543	4						4	1547	4		
	1845	6	19				3	1	6.3			0	"INDIA"	"RANN OF KUTCH"	23.583	68.367		3											2		2				1						2		2		
	1847	10	31				3	1				0	"INDIA"	"LITTLE NICOBAR ISLAND"	7.333	93.667		1																							1		2		
	1868	8	19				3	0				0	"INDIA"	"ANDAMAN ISLANDS"	11.67	92.73	4	1		2									2												2				
	1876						-1	9				0	"INDIA"	"BAY OF BENGAL"				0																											
	1881	12	31				3	1	7.9			2	"INDIA"	"BAY OF BENGAL: W OF CAR NICOBAR IS"	8.52	92.43	1.22	11		0.3																					3				3
	1884						-1	2				0	"INDIA"	"BAY OF BENGAL"				0																											
	1897	6	12	11	6	46	3	1	8			0	"INDIA"	"ASSAM"	26	90.7	3	1											1					1542	4						4		4		4
	1905	4	4	0	49	59.2	3	1	7.9			0	"INDIA"	"KANGRA, INDIA"	32.597	76.916		2																19000	4						4	100000	4		
	1941	6	26	11	52	3.7	4	1	8			1	"INDIA"	"ANDAMAN SEA, E. COAST INDIA"	11.94	92.626	1.5	2																	1				1		4		4		
	1950	8	15	14	9	30	2	1	8.6			0	"INDIA"	"INDIA-CHINA"	28.5	96.5	0.5	41																1530	4					20	3				
	1955	5	17	14	49	49	2	1	7.3			0	"INDIA"	"LITTLE NICOBAR ISLAND"	6.5	94		0																											
	1978	6	12				-1	1				0	"INDIA"	"INDIA"				0																											
	2002	9	13	22	28	29.4	4	1	6.5			0	"INDIA"	"ANDAMAN ISLANDS, INDIA"	13.036	93.068		4											1				1	2	1						2	40	1		1
	2009	8	10	19	55	35.6	3	1	7.5			0	"INDIA"	"ANDAMAN ISLANDS"	14.099	92.888	0.01	1																											
	2010	6	12	19	26	50.4	4	1	7.5			0	"INDIA"	"LITTLE NICOBAR ISLAND"	7.881	91.936	0.03	2																											